LoanId,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
1,MK +Phone Nokia C22 2/64 V1 CG,65,1199,385,26224,0.134941139,0.95425,0.045721477
2,MK +Phone Nokia C22 2/64 v1 GT,60,2499,400,26499,0.236011829,0.747545455,0.094305445
3,MK +Phone Nokia C22 2/64 v1 NEW GT 60% Pilot,60,2499,400,26499,0.195830883,0.896928571,0.094305445
4,MK +Phone Nokia C22 2/64 v2 CG,65,1199,385,26224,0.159148655,0.924966573,0.045721477
5,MK +Phone Nokia C22 2/64 v2 CG 75% Pilot,65,1199,385,26224,0.179316255,0.906745293,0.045721477
6,MK +Phone Nokia C22 2/64 v2 GT,60,2499,400,26499,0.170817913,0.922305672,0.094305445
7,MK +Phone Nokia C31 4/64 v1,65,1999,420,29299,0.197137849,0.92376,0.068227585
8,MK +Phone Nokia C31 4/64 v1 CG,80,1399,390,32599,0.220847815,0.859226415,0.042915427
9,MK +Phone Nokia C31 4/64 v1 GT,75,2999,395,32624,0.14789459,0.922189655,0.091926189
10,MK +Phone Nokia C31 4/64 v2 NEW GT 60% Pilot,75,2999,395,32624,0.181477226,0.907881271,0.091926189
11,MK +Phone Nokia C31 4/64 v3 CG,80,1399,390,32599,0.171807578,0.91698122,0.042915427
12,MK +Phone Nokia C31 4/64 v3 GT,75,2999,395,32624,0.198227883,0.901330159,0.091926189
13,MK +Phone Nokia C31 4/64 v4 CG 75% Pilot,80,1399,390,32599,0.193087005,0.902364352,0.042915427
14,MK +Phone Nokia C31 4/64 v6 DS,85,1999,400,35999,0.321182589,0.813741935,0.05552932
15,MK +Phone Nokia C31 4/64 v7,85,1899,400,35899,0.359372224,0.722458333,0.052898409
16,MK +Phone Nokia G21 4/64 CSTR 1,85,1799,410,36649,0.547418041,0.8235,0.049087288
17,MK +Phone Nokia G21 4/64 DS v1 CG,90,1999,410,38899,0.184026896,0.916510549,0.051389496
18,MK +Phone Nokia G21 4/64 DS v1 GT,90,3999,390,39099,0.205629411,0.852676471,0.102278831
19,MK +Phone Nokia G21 4/64 DS v2 NEW GT 60% Pilot,90,3999,390,39099,0.112394138,0.976357143,0.102278831
20,MK +Phone Nokia G21 4/64 v3,70,1999,365,27549,0.062087564,1,0.072561617
21,MK +Phone Nokia T10 Tablet 4/64 CG v1,100,2899,385,41399,0.230984813,0.875966667,0.070025846
22,MK +Phone Nokia T10 Tablet 4/64 CG v2,100,2199,385,40699,0.233865748,0.828987952,0.054030812
23,MK +Phone Nokia T10 Tablet 4/64 GT v1,95,4699,400,42699,0.08472815,1,0.110049416
24,MK +Phone Samsung A03 Core 2/32  DS v16,55,1499,400,23499,0.129715728,1,0.063789949
25,MK +Phone Samsung A03 Core 2/32 DS NEW GT 60% Pilot,65,2499,370,26549,0.178845979,0.851443878,0.094127839
26,MK +Phone Samsung A03 Core 2/32 DS NEW v2 GT 60% Pilot,70,2599,385,29549,0.256740784,0.837108434,0.087955599
27,MK +Phone Samsung A03 Core 2/32 DS v1 CG,65,1199,390,26549,0.16425653,0.926358355,0.045161776
28,MK +Phone Samsung A03 Core 2/32 DS v1 GT,65,2499,370,26549,0.179688452,0.90159364,0.094127839
29,MK +Phone Samsung A03 Core 2/32 DS v2 CG,70,1299,400,29299,0.188254259,0.900418893,0.044335984
30,MK +Phone Samsung A03 Core 2/32 DS v2 GT,70,2599,385,29549,0.221039338,0.877825641,0.087955599
31,MK +Phone Samsung A03 Core 2/32 DS v3 CG,70,1299,400,29299,0.162090408,0.932609719,0.044335984
32,MK +Phone Samsung A03 Core 2/32 DS v3 CG 75% Pilot,70,1299,400,29299,0.173860616,0.913995853,0.044335984
33,MK +Phone Samsung A03 Core 2/32 DS v3 GT,70,2599,380,29199,0.219970443,0.894003759,0.089009898
34,MK +Phone Samsung A03 Core 2/32 DS v3 GT 60% Pilot,70,2599,380,29199,0.205758374,0.893263566,0.089009898
35,MK +Phone Samsung A03 Core 2/32 v22 DS,70,1499,410,30199,0.091972092,1,0.049637405
36,MK +Phone Samsung A03 Core 2/32 v23 DS,70,1499,390,28799,0.199791077,0.840277778,0.052050418
